,DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,STATION_ID
23,ANGRA DOS REIS,RJ,Operante,"-22.97555554","-44.30333333",6,24/08/2017,A628
41,ARRAIAL DO CABO,RJ,Operante,"-22.97527777","-42.02138888",5,21/09/2006,A606
97,CAMBUCI,RJ,Operante,"-21.58749999","-41.95833333",46,19/11/2002,A604
108,CAMPOS DOS GOYTACAZES,RJ,Operante,"-21.71472222","-41.34388888",17,24/09/2006,A607
109,CAMPOS DOS GOYTACAZES - SAO TOME,RJ,Operante,"-22.04166666","-41.05166666",7,12/06/2008,A620
124,CARMO,RJ,Operante,"-21.938745","-42.600936",293,10/10/2018,A629
178,DUQUE DE CAXIAS - XEREM,RJ,Operante,"-22.58972221","-43.28222221",22,20/10/2002,A603
292,MACAE,RJ,Operante,"-22.3761111","-41.81194444",28,21/09/2006,A608
335,NITEROI,RJ,Operante,"-22.86749999","-43.10194444",6,12/07/2018,A627
338,NOVA FRIBURGO - SALINAS,RJ,Operante,"-22.33472221","-42.67694443",1070,17/09/2010,A624
365,PARATY,RJ,Operante,"-23.2236111","-44.72694443",3,18/11/2006,A619
381,PICO DO COUTO,RJ,Operante,"-22.46472222","-43.29138888",1777,21/10/2006,A610
413,Paty do Alferes - Avelar,RJ,Operante,"-22.34722221","-43.41777777",508,09/11/2022,A637
425,RESENDE,RJ,Operante,"-22.45138888","-44.44499999","438,83",28/09/2006,A609
429,RIO CLARO,RJ,Operante,"-22.653579","-44.040916",516,02/06/2016,A626
430,RIO DE JANEIRO - FORTE DE COPACABANA,RJ,Operante,"-22.98833333","-43.19055555","25,59",17/05/2007,A652
431,RIO DE JANEIRO - JACAREPAGUA,RJ,Operante,"-22.93999999","-43.40277777",20,09/08/2017,A636
432,RIO DE JANEIRO - VILA MILITAR,RJ,Operante,"-22.86138888","-43.41138888","30,43",12/04/2007,A621
433,RIO DE JANEIRO-MARAMBAIA,RJ,Operante,"-23.05027777","-43.59555555",12,07/11/2002,A602
458,SANTA MARIA MADALENA,RJ,Operante,"-21.95055555","-42.01027777",517,15/10/2018,A630
498,SAQUAREMA - SAMPAIO CORREIA,RJ,Operante,"-22.8711111","-42.60888888",26,01/09/2015,A667
501,SEROPEDICA-ECOLOGIA AGRICOLA,RJ,Operante,"-22.75777777","-43.68472221",35,23/05/2000,A601
510,SILVA JARDIM,RJ,Operante,"-22.64583333","-42.41555555",19,27/08/2015,A659
526,TERESOPOLIS-PARQUE NACIONAL,RJ,Operante,"-22.4486111","-42.98694444",981,31/10/2006,A618
535,TRES RIOS,RJ,Operante,"-22.09833333","-43.20833333",295,07/06/2016,A625
550,VALENCA,RJ,Operante,"-22.35805555","-43.69555555",370,26/09/2006,A611
0,Vidigal,RJ,Operante,-22.9925,-43.2331,,,vidigal
10,Irajá,RJ,Operante,-22.8269,-43.3369,,,iraja
15,Jardim Botânico,RJ,Operante,-22.9728,-43.2239,,,jardim_botanico
18,Barra/Riocentro,RJ,Operante,-22.9772,-43.3916,,,riocentro
19,Guaratiba,RJ,Operante,-23.0503,-43.5947,,,guaratiba
21,Santa Cruz,RJ,Operante,-22.9094,-43.6844,,,santa_cruz
27,Alto da Boa Vista,RJ,Operante,-22.9658,-43.2783,,,alto_da_boa_vista
31,São Cristóvão,RJ,Operante,-22.8967,-43.2217,,,sao_cristovao
